id,name,album,artist,play_count,is_favorite
3612,Delusional Lament (feat. Hatsune Miku & Kafu),Delusional Lament (feat. Hatsune Miku & Kafu) - Single,MIMI,0,False
1311,Hug (feat. HATSUNE MIKU & KAFU),Hug (feat. HATSUNE MIKU & KAFU) - Single,MIMI,102,True
3741,Tukimichisirube (feat. HATSUNE MIKU & KAFU) [Vocaloid Ver.],Tukimichisirube (feat. HATSUNE MIKU & KAFU) [Vocaloid Ver.] - Single,MIMI,0,False
1255,UNFADING,UNFADING,MIMI,180,True
3588,Unfading (feat. HATSUNE MIKU),Unfading (feat. HATSUNE MIKU) - Single,MIMI,0,True
1309,くうになる (feat. 可不),くうになる (feat. 可不) - Single,MIMI,91,True
1253,ツキミチシルベ,ツキミチシルベ (vocaloid Ver.) ,MIMI,125,False
3805,Hanataba,Hanataba - Single,MIMI & KAFU,0,True
1254,ハナタバ ,ハナタバ ,MIMI & 可不,114,True
1186,妄想哀歌,妄想哀歌,"MIMI, 初音ミク,可不",46,False
1156,Age Age Again,The Greatest Idol,Mitchie M,1,False
1155,Freely Tomorrow,The Greatest Idol,Mitchie M,108,False
1205,ビバハピ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,Mitchie M,1,False
3853,"More! Jump! More! (feat. 花里みのり, 桐谷遥, 桃井愛莉, 日野森雫 & 初音ミク)","Newly Edgy Idols / More! Jump! More! (feat. 花里みのり, 桐谷遥, 桃井愛莉, 日野森雫 & 初音ミク) - Single",MORE MORE JUMP!,0,False
1180,モア!ジャンプ!モア! (feat. 花里みのり&桐谷遥&桃井愛莉&日野森雫&初音ミク),アイドル新鋭隊/モア!ジャンプ!モア!,MORE MORE JUMP!,68,False
1202,悪ノ娘 - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,mothy,0,False
1265,光線チューニング,光線チューニング,Nayutalien,31,False
3525,Opera! Space Opera!,Opera! Space Opera! - Single,Nayutan Seijin,0,False
3601,光線チューニング,たまゆらリレイション CHUNITHM Original Sound Track,Nayutan Seijin,0,False
1272,太陽系デスコ,ナユタン星からの物体Y,Nayutan Seijin,100,True
1189,東京テディベア -初音ミク「マジカルミライ 2014」Live-,初音ミク「マジカルミライ 2014」 [Live],Neru,41,False
3706,"I am you (feat. 宵崎奏, 朝比奈まふゆ, 東雲絵名, 暁山瑞希 & Hatsune Miku)",Kimi no Yoru Wo Kure/I am you - Single,Nightcord at 25:00,0,False
1211,テオ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,Omoi,2,False
1212,Henceforth - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,Orangestar,0,False
3864,Kuruizakura (feat. Hatsune Miku),Kuruizakura (feat. Hatsune Miku) - Single,Osanzi,0,False
1177,狂桜 (feat. 初音ミク),狂桜,Osanzi/初音ミク,9,False
1173,Apocalypse Now,Apocalypse Now,PinocchioP,69,False
1326,Super Superhero,Super Superhero - Single,Pinokio-P,33,True
1277,With or Without Me,With or Without Me - Single,Pinokio-P,87,True
3623,ねぇねぇねぇ。,ラヴ,Pinokio-P,48,False
1276,魔法少女とチョコレゐト,魔法少女とチョコレゐト - Single,Pinokio-P,93,True
1234,おぎゃりないざー (feat. 初音ミク),おぎゃりないざー,"Ponchi♪, 初音ミク",48,False
1169,恋のMoonlight,恋のMoonlight,"REDALiCE, 犬山たまき",67,False
1283,系ぎて,KOP5thオリジナルCD,Rintaro Soma,2,False
1321,アマカミサマ,アマカミサマ - Single,Sana Natori,45,True
1154,the EmpErroR (Full ver.),,sasakure. UK,30,False
3658,FUTURE EVE (feat. Hatsune Miku),"Hatsune Miku ""Magical Mirai"" 10th Anniversary OFFICIAL ALBUM",Sasakure.Uk,0,False
1210,トンデモワンダーズ - STUDY WITH MIKU ver. -,STUDY WITH MIKU part3,sasakure.UK,0,False
3752,The EmpErroR,The EmpErroR - Single,Sasakure.Uk,0,False
1165,39,39,"sasakure.UK, DECO_27, Hatsune Miku",89,False
1171,フューチャー・イヴ (feat. 初音ミク),初音ミク「マジカルミライ」10th Anniversary OFFICIAL ALBUM,"sasakure.UK, 初音ミク",98,False
1196,M@GICAL CURE! LOVE SHOT! (feat. Hatsune Miku),M@GICAL CURE! LOVE SHOT!,SAWTOWNE & Hatsune Miku,113,True
3488,M@GICAL CURE! LOVE SHOT!,M@GICAL CURE! LOVE SHOT! - Single,SAWTOWNE & Hatsune Miku,0,True
3426,Night Sky Patrol of Tomorrow - STUDY WITH MIKU ver. -,STUDY WITH MIKU part1,STUDY WITH MIKU,1,False
1195,Imaginary Love Story (feat. 初音ミク),imaginary love story,Synthion & Hatsune Miku,147,True
3764,imaginary love story,imaginary love story - Single,Synthion & Hatsune Miku,0,True
3324,Chuten,Chuten - Single,t+pazolite & Chiharu Kaneko,2,False
